CommunityDistrict,BreedName,BreedCount,BreedSum
101.0,Wirehaired Pointing Griffon,2,2300
101.0,Yorkshire Terrier,85,2300
101.0,Yorkshire Terrier Crossbreed,5,2300
102.0,Afghan Hound,2,3466
102.0,Airedale Terrier,1,3466
102.0,Akita,6,3466
102.0,Alaskan Malamute,2,3466
102.0,American Bully,2,3466
102.0,American Eskimo dog,6,3466
102.0,American Foxhound,3,3466
102.0,American Pit Bull Mix / Pit Bull Mix,33,3466
102.0,American Pit Bull Terrier/Pit Bull,18,3466
102.0,American Staffordshire Terrier ,13,3466
102.0,Anatolian Shepherd Dog,1,3466
102.0,Australian Cattle Dog,2,3466
102.0,Australian Cattledog,13,3466
102.0,Australian Kelpie,2,3466
102.0,Australian Shepherd,60,3466
102.0,Australian Silky Terrier,3,3466
102.0,Barbet,1,3466
102.0,Basenji,9,3466
102.0,Basset Hound,5,3466
102.0,Bassett Hound,11,3466
102.0,Beagle,28,3466
102.0,Beagle Crossbreed,28,3466
102.0,Bearded Collie,1,3466
102.0,Belgian Malinois,2,3466
102.0,Belgian Sheepdog,1,3466
102.0,Berger Picard,1,3466
102.0,Bernese Mountain Dog,9,3466
102.0,Bichon Frise,22,3466
102.0,Bloodhound,1,3466
102.0,Bluetick Coonhound,1,3466
102.0,Bolognese,1,3466
102.0,Border Collie,17,3466
102.0,Border Collie Crossbreed,1,3466
102.0,Border Terrier,16,3466
102.0,Borzoi,2,3466
102.0,Boston Terrier,47,3466
102.0,Bouvier Des Flandres,6,3466
102.0,Boxer,32,3466
102.0,Boykin Spaniel,1,3466
102.0,Brittany,3,3466
102.0,Brussels Griffon,19,3466
102.0,"Bull Dog, American",2,3466
102.0,"Bull Dog, English",30,3466
102.0,"Bull Dog, French",76,3466
102.0,Bull Terrier,12,3466
102.0,Bulldog,5,3466
102.0,Cairn Terrier,18,3466
102.0,Cane Corso,5,3466
102.0,Cardigan Welsh Corgi,1,3466
102.0,Catahoula Leopard Dog,3,3466
102.0,Cavalier King Charles Spaniel,73,3466
102.0,Chesapeake Bay Retriever,4,3466
102.0,Chihuahua,109,3466
102.0,Chihuahua Crossbreed,20,3466
102.0,Chinese Crested,4,3466
102.0,Chinese Shar-Pei,1,3466
102.0,Chinook,1,3466
102.0,Chow Chow,12,3466
102.0,Clumber Spaniel,1,3466
102.0,Cocker Spaniel,56,3466
102.0,Cocker Spaniel Crossbreed,3,3466
102.0,Collie,1,3466
102.0,Collie Crossbreed,7,3466
102.0,"Collie, Bearded ",4,3466
102.0,"Collie, Border",14,3466
102.0,"Collie, Smooth Coat",2,3466
102.0,"Coonhound, Black and Tan",5,3466
102.0,"Coonhound, Blue Tick",1,3466
102.0,"Coonhound, Treeing Walker",1,3466
102.0,Coton de Tulear,6,3466
102.0,Cotton De Tulear,5,3466
102.0,Dachshund,15,3466
102.0,Dachshund Crossbreed,7,3466
102.0,Dachshund Smooth Coat,21,3466
102.0,Dachshund Smooth Coat Miniature,18,3466
102.0,"Dachshund, Long Haired",9,3466
102.0,"Dachshund, Long Haired Miniature",11,3466
102.0,"Dachshund, Wirehaired",1,3466
102.0,Dalmatian,2,3466
102.0,Doberman Pinscher,6,3466
102.0,Dogue de Bordeaux,1,3466
102.0,Dutch Shepherd,1,3466
102.0,English Cocker Spaniel,9,3466
102.0,English Foxhound,3,3466
102.0,English Setter,1,3466
102.0,English Springer Spaniel,1,3466
102.0,Field Spaniel,2,3466
102.0,Flat-Coated Retriever,1,3466
102.0,French Bulldog,101,3466
102.0,German Pinscher,1,3466
102.0,German Shepherd Crossbreed,32,3466
102.0,German Shepherd Dog,27,3466
102.0,German Shorthaired Pointer,3,3466
102.0,Golden Retriever,90,3466
102.0,Goldendoodle,34,3466
102.0,Grand Basset Griffon Vendeen,1,3466
102.0,Great Dane,6,3466
102.0,Great Pyrenees,2,3466
102.0,Greyhound,15,3466
102.0,Harrier,1,3466
102.0,Havanese,95,3466
102.0,Irish Setter,4,3466
102.0,Irish Terrier,5,3466
102.0,Irish Wolfhound,2,3466
102.0,Italian Greyhound,12,3466
102.0,Jack Russell Terrier,53,3466
102.0,Japanese Chin/Spaniel,2,3466
102.0,Jindo,1,3466
102.0,Karelian Bear Dog,1,3466
102.0,Keeshond,4,3466
102.0,Kooikerhondje,1,3466
102.0,Kromfohrlander,1,3466
102.0,Labradoodle,54,3466
102.0,Labrador Retriever,202,3466
102.0,Labrador Retriever Crossbreed,84,3466
102.0,Lagotto Romagnolo,2,3466
102.0,Lakeland Terrier,1,3466
102.0,Leonberger,1,3466
102.0,Lhasa Apso,5,3466
102.0,Lowchen,1,3466
102.0,Maltese,74,3466
102.0,Maltese Crossbreed,6,3466
102.0,Maltipoo,10,3466
102.0,Mastiff,1,3466
102.0,"Mastiff, French (Dogue de Bordeaux)",3,3466
102.0,"Mastiff, Old English",1,3466
102.0,Miniature American Shepherd,21,3466
102.0,Miniature Bull Terrier,2,3466
102.0,Miniature Pinscher,16,3466
102.0,Miniature Schnauzer,10,3466
102.0,Morkie,8,3466
102.0,Mudi,1,3466
102.0,Newfoundland,2,3466
102.0,Norfolk Terrier,6,3466
102.0,Norwich Terrier,6,3466
102.0,Nova Scotia Duck Tolling Retriever,1,3466
102.0,Old English Sheepdog,5,3466
102.0,Otterhound,1,3466
102.0,Papillon,13,3466
102.0,Pekingese,11,3466
102.0,Pembroke Welsh Corgi,4,3466
102.0,Pharaoh Hound,1,3466
102.0,Pharoh hound,3,3466
102.0,Pointer,10,3466
102.0,"Pointer, German Shorthaired",5,3466
102.0,Polish Hound,1,3466
102.0,Polish Lowland Sheepdog,1,3466
102.0,Pomeranian,55,3466
102.0,Pomeranian Crossbreed,5,3466
102.0,Poodle,18,3466
102.0,Poodle Crossbreed,36,3466
102.0,"Poodle, Miniature",60,3466
102.0,"Poodle, Standard",33,3466
102.0,"Poodle, Toy",45,3466
102.0,Portuguese Water Dog,17,3466
102.0,Pug,53,3466
102.0,Pug Crossbreed,1,3466
102.0,Puggle,18,3466
102.0,Rat Terrier,7,3466
102.0,Rat Terrier Crossbreed,1,3466
102.0,Rhodesian Ridgeback,11,3466
102.0,Rottweiler,15,3466
102.0,Rottweiler Crossbreed,1,3466
102.0,Russell Terrier,1,3466
102.0,Saint Bernard,2,3466
102.0,Samoyed,7,3466
102.0,Schnauzer Crossbreed,6,3466
102.0,"Schnauzer, Miniature",42,3466
102.0,"Schnauzer, Standard",7,3466
102.0,Scottish Terrier,10,3466
102.0,"Shar-Pei, Chinese",7,3466
102.0,Shetland Sheepdog,7,3466
102.0,Shiba Inu,49,3466
102.0,Shih Tzu,85,3466
102.0,Shih Tzu Crossbreed,19,3466
102.0,Siberian Husky,24,3466
102.0,Silky Terrier,2,3466
102.0,Soft Coated Wheaten Terrier,5,3466
102.0,Spinone Italiano,1,3466
102.0,Staffordshire Bull Terrier,9,3466
102.0,Terrier Crossbreed,6,3466
102.0,Terrier mix,17,3466
102.0,Tibetan Spaniel,1,3466
102.0,Tibetan Terrier,17,3466
102.0,Toy Fox Terrier,2,3466
102.0,Treeing Walker Coonhound,1,3466
102.0,Unknown,467,3466
102.0,Vizsla,14,3466
102.0,Weimaraner,7,3466
102.0,"Welsh Corgi, Cardigan",4,3466
102.0,"Welsh Corgi, Pembroke",6,3466
102.0,Welsh Terrier,2,3466
102.0,West High White Terrier,18,3466
102.0,West Highland White Terrier,7,3466
102.0,Wheaton Terrier,22,3466
102.0,Whippet,11,3466
102.0,Wire Fox Terrier,4,3466
102.0,Wirehaired Pointing Griffon,2,3466
102.0,Xoloitzcuintli,2,3466
102.0,Yorkshire Terrier,96,3466
102.0,Yorkshire Terrier Crossbreed,11,3466
103.0,Affenpinscher,1,2710
103.0,Afghan Hound,1,2710
103.0,Airedale Terrier,1,2710
103.0,Alaskan Malamute,2,2710
103.0,American Bully,4,2710
103.0,American Eskimo dog,3,2710
103.0,American Pit Bull Mix / Pit Bull Mix,90,2710
103.0,American Pit Bull Terrier/Pit Bull,72,2710
103.0,American Staffordshire Terrier ,24,2710
103.0,Anatolian Shepherd Dog,4,2710
103.0,Australian Cattle Dog,2,2710
103.0,Australian Cattledog,7,2710
103.0,Australian Kelpie,3,2710
103.0,Australian Shepherd,36,2710
103.0,Australian Silky Terrier,1,2710
103.0,Australian Terrier,1,2710
103.0,Barbet,1,2710
103.0,Basenji,5,2710
103.0,Basset Hound,1,2710
103.0,Bassett Hound,3,2710
103.0,Beagle,38,2710
103.0,Beagle Crossbreed,20,2710
103.0,Bernese Mountain Dog,2,2710
103.0,Bichon Frise,12,2710
103.0,Bichon Frise Crossbreed,1,2710
